,a,ä,ɑ,ɒ,æ,b,ḇ,β,c,č,ɔ,ɕ,ç,d,ḏ,,ḍ,,ð,e,ə,ɚ,ɛ,ɝ,f,g,ḡ,h,ʰ,ḥ,ḫ,ẖ,i,ɪ,ỉ,ɨ,j,,ʲ,ǰ,k,ḳ,ḵ,l,ḷ,ɬ,ɫ,m,n,ŋ,ṇ,ɲ,ɴ,o,ŏ,ɸ,θ,p,p̅,þ,,q,r,ɹ,ɾ,ʀ,ʁ,ṛ,s,š,ś,,,ṣ,,ʃ,t,ṭ,,ṯ,,ʨ,tʂ,u,ʊ,ŭ,ü,v,ʌ,ɣ,w,ʍ,x,χ,y,,ʸ,ʎ,z,ẓ,,ž,ʒ,’,‘,ʔ,ʕ,,$
^,0.007905642875986078,0.0,0.01866208269864098,0.0,0.024499834058088178,0.07490362604351933,0.0,0.0,0.0,0.0,0.008433253057160606,0.0,0.0,0.07166988622341738,0.0,0.0,0.0,0.0,0.0004595314481197505,0.004833590046889227,0.028439890733633448,0.0,0.022355353966862678,0.00411876334981406,0.04145994843035971,0.0,0.0,0.04877841223374833,0.0,0.0,0.0,0.0,0.0036507220600624623,0.028967500914807976,0.0,0.0,0.009794827718256164,0.0,0.0,0.0,0.09873118261269158,0.0,0.0,0.0,0.0,0.0,0.04604675306992537,0.07274212626903014,0.026057135076716222,0.0,0.0,0.0,0.0,0.012458408149024347,0.0,0.0,0.004876139255048464,0.058079669137357355,0.0,0.0,0.0,0.0,0.0,0.061772940405579055,0.0,0.0,0.0,0.0,0.09619524980640111,0.0,0.0,0.0,0.0,0.0,0.0,0.019742832585885578,0.047357268681229844,0.0,0.0,0.0,0.0,0.0,0.0,0.0015743207018917378,0.0008765136880802648,0.0,0.0,0.018611023648849895,0.0,0.0,0.02793781007735446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007301444120124925,0.0,0.0,0.0,0.0007063168554433201,0.0,0.0,0.0,0.0,0.0,0.0
a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7641306940138326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23586930598616743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ä,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ɑ,8.777704630239193e-05,0.0,0.0015799868334430546,0.0,8.777704630239193e-05,0.025938117182356814,0.0,0.0,0.0,0.0,0.00039499670836076365,0.0,0.0,0.04331797235023042,0.0,0.0,0.0,0.0,0.001228878648233487,4.3888523151195965e-05,0.003818301514154049,0.0,0.00039499670836076365,0.001053324555628703,0.012025455343427693,0.0,0.0,0.0036427474215492647,0.0,0.0,0.0,0.0,0.0028088654816765418,0.0018872064955014263,0.0,0.0,0.002150537634408602,0.0,0.0,0.0,0.07145051569014703,0.0,0.0,0.0,0.0,0.0,0.10089971472459952,0.057801184990125085,0.1641430765854729,0.009918806232170287,0.0,0.0,0.0,0.0026333113890717576,0.0,0.0,0.0036427474215492647,0.036427474215492646,0.0,0.0,0.0,0.0,0.0,0.2578450735132763,0.0,0.0,0.0,0.0,0.04814570989686197,0.0,0.0,0.0,0.0,0.0,0.0,0.007329383366249726,0.06140004388852315,0.0,0.0,0.0,0.0,0.0,0.0,0.0012727671713846829,0.0,0.0,0.0,0.019091507570770244,0.0,0.0,0.0049594031160851435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014878209348255431,0.0,0.0,0.0,0.0019749835418038184,0.0,0.0,0.0,0.0,0.0,0.035725257845073514
ɒ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
æ,5.2598358931201344e-05,0.0,0.00015779507679360404,0.0,0.00015779507679360404,0.029507679360403955,0.0,0.0,0.0,0.0,0.00015779507679360404,0.0,0.0,0.04996844098464128,0.0,0.0,0.0,0.0,0.002103934357248054,0.0,0.006995581737849779,0.0,0.00015779507679360404,0.0024721228697664635,0.030244056385440775,0.0,0.0,0.0024721228697664635,0.0,0.0,0.0,0.0,0.001209762255417631,0.0017357458447296444,0.0,0.0,0.0003155901535872081,0.0,0.0,0.0,0.11387544708605092,0.0,0.0,0.0,0.0,0.0,0.09783294761203451,0.08389438249526615,0.24915842625710077,0.04507679360403955,0.0,0.0,0.0,0.00010519671786240269,0.0,0.0,0.011466442247001893,0.03787081843046497,0.0,0.0,0.0,0.0,0.0,0.021354933726067747,0.0,0.0,0.0,0.0,0.07847675152535241,0.0,0.0,0.0,0.0,0.0,0.0,0.019829581317062906,0.07579423521986114,0.0,0.0,0.0,0.0,0.0,0.0,0.00010519671786240269,5.2598358931201344e-05,0.0,0.0,0.016095097832947613,0.0,0.0,0.0009993688196928256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011992425836313906,0.0,0.0,0.0,0.0003155901535872081,0.0,0.0,0.0,0.0,0.0,0.007994950557542605
b,0.03161303587951064,0.0,0.06841780610671327,0.0,0.05479592885781844,0.0,0.0,0.0,0.0,0.0,0.0403515986429526,0.0,0.0,0.005705767451423872,0.0,0.0,0.0,0.0,0.0,0.02220623008121723,0.1284054693122237,0.0,0.0682635961755937,0.12110619923923101,0.00035982317261231626,0.0,0.0,0.0008224529659710086,0.0,0.0,0.0,0.0,0.055772591754909014,0.06816078955484733,0.0,0.0,0.012593811041431069,0.0,0.0,0.0,0.00262156882903259,0.0,0.0,0.0,0.0,0.0,0.058959596998046676,0.002056132414927521,0.0020047291045543333,0.0,0.0,0.0,0.0,0.040711421815564926,0.0,0.0,0.00010280662074637607,0.00035982317261231626,0.0,0.0,0.0,0.0,0.0,0.1151434152359412,0.0,0.0,0.0,0.0,0.010537678626503547,0.0,0.0,0.0,0.0,0.0,0.0,0.00035982317261231626,0.001593502621568829,0.0,0.0,0.0,0.0,0.0,0.0,0.01439292690449265,0.016551865940166548,0.0,0.0,0.0008738562763441966,0.0,0.0,0.0017991158630615812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011925568006579623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04143106816078956
ḇ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
β,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
č,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ɔ,8.597713008339781e-05,0.0,0.0,0.0,8.597713008339781e-05,0.006792193276588428,0.0,0.0,0.0,0.0,8.597713008339781e-05,0.0,0.0,0.021064396870432465,0.0,0.0,0.0,0.0,0.00017195426016679562,0.0,0.002407359642335139,0.0,0.00017195426016679562,0.0017195426016679562,0.055111340383458,0.0,0.0,0.0006878170406671825,0.0,0.0,0.0,0.0,0.0011177026910841716,0.0982718596853237,0.0,0.0,0.0012036798211675695,0.0,0.0,0.0,0.023127847992434013,0.0,0.0,0.0,0.0,0.0,0.10033531080732525,0.006964147536755223,0.03817384575702863,0.02115037400051586,0.0,0.0,0.0,8.597713008339781e-05,0.0,0.0,0.009371507179090362,0.004814719284670278,0.0,0.0,0.0,0.0,0.0,0.46410454819018143,0.0,0.0,0.0,0.0,0.038947639927779214,0.0,0.0,0.0,0.0,0.0,0.0,0.005244604935087267,0.03370303499269194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003095176683002321,0.0,0.0,0.0006878170406671825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012810592382426274,0.0,0.0,0.0,8.597713008339781e-05,0.0,0.0,0.0,0.0,0.0,0.048319147106869575
ɕ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ç,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d,0.017652577523207584,0.0,0.019183290539206005,0.0,0.011307525182698005,0.004295872012640727,0.0,0.0,0.0,0.0,0.012591349002567647,0.0,0.0,0.0002962670353545329,0.0,0.0,0.0,0.0,0.0,0.013751728224372902,0.07732569622753309,0.0,0.03291032984396603,0.04248963065376259,0.002962670353545329,0.0,0.0,0.0027404700770294293,0.0,0.0,0.0,0.0,0.04374876555401935,0.08949733359668181,0.0,0.0,0.0009628678649022319,0.0,0.0,0.0,0.0032095595496741064,0.0,0.0,0.0,0.0,0.0,0.011653170057278294,0.006912897491605768,0.004567450128382382,0.0,0.0,0.0,0.0,0.019183290539206005,0.0,0.0,0.0002468891961287774,0.001234445980643887,0.0,0.0,0.0,0.0,0.0,0.028145368358680624,0.0,0.0,0.0,0.0,0.006394430179735335,0.0,0.0,0.0,0.0,0.0,0.0,0.0009381789452893542,0.001333201659095398,0.0,0.0,0.0,0.0,0.0,0.0,0.010640924353150305,0.0016047797748370532,0.0,0.0,0.002370136282836263,0.0,0.0,0.006024096385542169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03049081572190401,0.0,0.0,0.0,0.1295674501283824,0.0,0.0,0.0,0.0,0.0,0.36376654157614063
ḏ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ḍ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ð,0.0225140712945591,0.0,0.00375234521575985,0.0,0.0075046904315197,0.0,0.0,0.0,0.0,0.0,0.001876172607879925,0.0,0.0,0.01876172607879925,0.0,0.0,0.0,0.0,0.0,0.0075046904315197,0.05628517823639775,0.0,0.0450281425891182,0.5290806754221389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08818011257035648,0.039399624765478425,0.0,0.0,0.005628517823639775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001876172607879925,0.009380863039399626,0.001876172607879925,0.0,0.0,0.0,0.0,0.009380863039399626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001876172607879925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001876172607879925,0.0,0.0,0.0,0.0,0.0,0.0,0.001876172607879925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0150093808630394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13133208255159476
